nome_coluna,chave,valor
v0664,NA,"Para as mulheres com menos de 10 anos de idade na data de referência do censo, os homens e as mulheres de 10 anos ou mais de idade que não tiveram filhos nascidos vivos"
v0665,NA,NA
v0667,NA,"Para as mulheres com menos de 10 anos de idade na data de referência do censo, os homens e as mulheres de 10 anos ou mais de idade que não tiveram filhos nascidos vivos"
v0668,NA,"Para as mulheres com menos de 10 anos de idade na data de referência do censo, os homens, e as mulheres de 10 anos ou mais de idade que não tiveram filhos nascidos vivos."
v0669,NA,Para as mulheres com menos de 10 anos de idade na data de referência do censo e os homens
v5030,NA,Para pessoas residentes em domicílios coletivos e/ou em unidades domésticas localizadas em terras indígenas
v5040,NA,Para pessoas residentes em domicílios coletivos e/ou em unidades domésticas localizadas em terras indígenas
v5090,NA,"Para pessoas residentes em domicílios coletivos e/ou em unidades domésticas residentes em terras indígenas e domicílios coletivos, onde não se fez a identificação de famílias, além das pessoas não pertencentes a famílias únicas ou conviventes principais."
v5100,NA,"Para pessoas residentes em domicílios coletivos e/ou em unidades domésticas residentes em terras indígenas e domicílios coletivos, onde não se fez a identificação de famílias, além das pessoas não pertencentes a famílias conviventes secundárias (segundas, terceiras, etc.)"
v6222,NA,Para os não migrantes e os naturais da unidade da federação onde foi realizada a entrevista
v6664,NA,Para as mulheres com menos de 10 anos de idade na data de referência do censo e os homens
v6900,NA,Para as pessoas com menos de 10 anos de idade na data de referência do censo
v6910,NA,"Para as pessoas com menos de 10 anos de idade na data de referência do censo e as pessoas de 10 anos ou mais de idade que não trabalharam na semana de 25 a 31 de julho de 2010 nem tomaram alguma providência, de fato, para conseguir trabalho no período de 02 a 31 de julho de 2010. incluem-se as pessoas que não trabalharam na semana de 25 a 31 de julho de 2010, mas procuraram trabalho no período de 02 a 31 de julho de 2010 e não estavam disponíveis para trabalhar"
v6920,NA,Para as pessoas com menos de 10 anos de idade na data de referência do censo
v6930,NA,"Para quem, na semana de 25 a 31 de julho de 2010: era menor de 10 anos de idade; ou não trabalhou ganhando em dinheiro, produtos, mercadorias ou benefícios; e não tinha algum trabalho remunerado do qual estava temporariamente afastado(a); e não ajudou sem qualquer pagamento no trabalho remunerado de morador do domicílio; e não trabalhou na plantação, criação de animais ou pesca, somente para alimentação dos moradores do domicílio"
v6940,NA,"Para quem, na semana de 25 a 31 de julho de 2010: era menor de 10 anos de idade; ou não trabalhou ganhando em dinheiro, produtos, mercadorias ou benefícios; e não tinha algum trabalho remunerado do qual estava temporariamente afastado(a); e não ajudou sem qualquer pagamento no trabalho remunerado de morador do domicílio; e não trabalhou na plantação, criação de animais ou pesca, somente para alimentação dos moradores do domicílio; e trabalhou como conta própria, empregador ou não remunerado"
v0627 ,NA,Para as pessoas menores de 5 anos de idade
v0651,0,Não tem
v0652,0,Não tem
v0656,0,Não
v0657,0,Não
v0658,0,Não
v0659,0,Não
v6664,0,Não
v0502,1,Pessoa responsável pelo domicílio
v0601,1,Masculino
v0604,1,Sim e mora neste domicílio
v0606,1,Branca
v0613,1,Do cartório
v0614,1,"Sim, não consegue de modo algum"
v0616,1,"Sim, não consegue de modo algum"
v0617,1,Sim
v0618,1,Sim e sempre morou
v0619,1,Sim e sempre morou
v0620,1,Brasileiro nato
v0625,1,Uf/município
v0628,1,"Sim, pública"
v0629,1,Creche
v0630,1,Primeiro ano
v0631,1,Primeira série
v0632,1,Sim
v0633,1,"Creche, pré-escolar (maternal e jardim de infância), classe de alfabetização - ca"
v0634,1,Sim
v0635,1,Superior de graduação
v0636,1,Neste município
v0637,1,Sim
v0639,1,Casamento civil e religioso
v0640,1,Casado
v0641,1,Sim
v0642,1,Sim
v0643,1,Sim
v0644,1,Sim
v0645,1,Um
v0648,1,Empregado com carteira de trabalho assinada
v0649,1,1 a 5 pessoas
v0650,1,"Sim, no trabalho principal"
v0651,1,"Em dinheiro, produtos ou mercadorias"
v0652,1,"Em dinheiro, produtos ou mercadorias"
v0654,1,Sim
v0655,1,Sim
v0656,1,Sim
v0657,1,Sim
v0658,1,Sim
v0659,1,Sim
v0660,1,No próprio domicílio
v0662,1,Até 05 minutos
v0663,1,Teve filhos nascidos vivos
v0664,1,Filhos vivos em 31/07/2010
v0665,1,Masculino
v0667,1,Sim
v0668,1,Sabe o mês e ano ou somente o ano
v0669,1,Teve filho nascido morto
v0670,1,A própria pessoa
v5030,1,Unipessoal
v5040,1,Arranjo familiar
v5090,1,Casal sem filho(s)
v5100,1,Casal sem filho(s)
v6040,1,Data de nascimento
v6222,1,Unidade da federação
v6400,1,Sem instrução e fundamental incompleto
v6664,1,Sim
v6900,1,Economicamente ativas
v6910,1,Ocupadas
v6920,1,Ocupadas
v6930,1,Empregados com carteira de trabalho assinada
