type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-11),-11,0.00668963611448906,0.007301889024879272,-0.012503453682821134,0.025882725911799253,-0.007621803393382605,0.021001075622360726
dynamic,ATT(-10),-10,0.014730593602673658,0.014123091292429002,-0.02239209594623814,0.05185328315158545,-0.012950156680858426,0.04241134388620574
dynamic,ATT(-9),-9,-0.007084476430998151,0.007980889856754849,-0.028062326842203285,0.013893373980206984,-0.02272673311481868,0.00855778025282238
dynamic,ATT(-8),-8,-0.002550767032138311,0.006522572367175028,-0.019695415043919657,0.014593880979643033,-0.015334773958357528,0.010233239894080908
dynamic,ATT(-7),-7,8.550622305413851e-4,0.008403762282692075,-0.021234312666473607,0.022944437127556377,-0.01561600917817119,0.01732613363925396
dynamic,ATT(-6),-6,-0.005292065938834419,0.007901361341222279,-0.02606087483559547,0.015476742957926632,-0.02077844959646718,0.010194317718798342
dynamic,ATT(-5),-5,-0.0061756961068600135,0.00948664473684695,-0.031111438582416752,0.01876004636869673,-0.024769178125206494,0.012417785911486465
dynamic,ATT(-4),-4,0.00964010553446627,0.00818359717431003,-0.011870563128995554,0.031150774197928093,-0.006399450191165144,0.025679661260097682
dynamic,ATT(-3),-3,4.23870668450138e-4,0.008475921697344334,-0.021855175986163915,0.022702917323064193,-0.016188630594126358,0.017036371931026636
dynamic,ATT(-2),-2,0.0020429067594617475,0.0069690397793581126,-0.01627528540019773,0.020361098919121225,-0.011616160214907115,0.01570197373383061
dynamic,ATT(-1),-1,-0.0027457490986649447,0.007149825647920953,-0.02153913875825749,0.016047640560927598,-0.016759149864330768,0.011267651667000876
dynamic,ATT(0),0,-0.004106803135947403,0.007776179611120627,-0.024546570578005793,0.01633296430611099,-0.01934783511105851,0.011134228839163707
dynamic,ATT(1),1,-0.0071312287034938126,0.00907871919935852,-0.030994734742019667,0.016732277335032044,-0.024925191359988823,0.0106627339530012
dynamic,ATT(2),2,-0.002979440708909249,0.013769847205485575,-0.039173624571419416,0.033214743153600915,-0.029967845304280476,0.02400896388646198
dynamic,ATT(3),3,0.00792769982148109,0.017311334094853508,-0.0375753184607304,0.05343071810369258,-0.026001891528772074,0.04185729117173425
dynamic,ATT(4),4,0.01744064706313814,0.01953696922741339,-0.033912475871407,0.06879376999768327,-0.02085110898965942,0.055732403115935705
dynamic,ATT(5),5,0.015371108158415607,0.020504901279479654,-0.03852623405003306,0.06926845036686427,-0.02481775985591378,0.055559976172744996
dynamic,ATT(6),6,0.033907931316363264,0.018975131078894415,-0.015968394312808207,0.08378425694553474,-0.003282642200196438,0.07109850483292296
