type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-11),-11,-3.89959057762035e-4,0.0028442735476550242,-0.007441564633773056,0.006661646518248986,-0.00596463277334585,0.00518471465782178
dynamic,ATT(-10),-10,6.757156055312452e-4,0.001946517646642412,-0.004150147470185932,0.005501578681248422,-0.0031393888771595446,0.004490820088222035
dynamic,ATT(-9),-9,4.484934876621903e-4,0.0012504886861697104,-0.002651754376824343,0.003548741352148724,-0.0020024193003052517,0.0028994062756296326
dynamic,ATT(-8),-8,-0.0024894790284221723,0.0034795787722825384,-0.011116151766361344,0.006137193709517,-0.009309328103466043,0.0043303700466217
dynamic,ATT(-7),-7,0.002426336959510577,0.0028307338659284043,-0.004591700644376397,0.009444374563397551,-0.0031217994675269275,0.007974473386548081
dynamic,ATT(-6),-6,-0.001549178300762183,0.0027864609214962215,-0.008457453135142758,0.0053590965336183915,-0.007010541351223067,0.0039121847496987015
dynamic,ATT(-5),-5,-7.075679089442339e-4,0.0012553955926572142,-0.003819981118489358,0.0024048453006008906,-0.0031680980569026894,0.0017529622390142219
dynamic,ATT(-4),-4,-2.1601786061431792e-4,9.872003420441024e-4,-0.0026635136165473216,0.002231477895318686,-0.0021508949765463806,0.001718859255317745
dynamic,ATT(-3),-3,1.9572105587480957e-4,4.978991017172519e-4,-0.0010386848559106106,0.0014301269676602298,-7.80143251425849e-4,0.0011715853631754682
dynamic,ATT(-2),-2,8.268006933528929e-4,5.480066476562634e-4,-5.318333014293523e-4,0.0021854346881351383,-2.472725993419143e-4,0.0019008739860477
dynamic,ATT(-1),-1,-2.3217233400418116e-4,7.631665637485858e-4,-0.0021242370409278676,0.0016598923729195054,-0.0017279513131566002,0.0012636066451482378
dynamic,ATT(0),0,6.345059773948091e-4,0.001619654068005059,-0.003380987422165736,0.004649999376955354,-0.002539957663308893,0.0038089696180985113
dynamic,ATT(1),1,-3.9597018629609145e-4,5.228899437956979e-4,-0.0016923341194873185,9.003937468951356e-4,-0.001420815644013832,6.288752714216491e-4
dynamic,ATT(2),2,-5.631912075870721e-4,7.047913788070827e-4,-0.0023105304608097405,0.0011841480456355963,-0.0019445569266632802,8.181745114891361e-4
dynamic,ATT(3),3,-0.0014020220936293488,0.001089988498120301,-0.004104353231036964,0.0013003090437782657,-0.0035383602935080425,7.343161062493449e-4
dynamic,ATT(4),4,-6.270027104235729e-4,0.0018806935141580162,-0.005289672685376677,0.004035667264529531,-0.004313094264131354,0.0030590888432842083
dynamic,ATT(5),5,-0.0030321533385526196,0.0028619615274491877,-0.010127611467721802,0.004063304790616562,-0.008641494857492268,0.002577188180387028
dynamic,ATT(6),6,0.0012148580458815521,6.235815090270147e-4,-3.3114333987742275e-4,0.002760859431640527,-7.33925323653491e-6,0.002437055344999639
