type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-6),-6,-0.00673324190837726,0.01104403604528406,-0.034756444927685204,0.021289961110930684,-0.028379154801096183,0.014912670984341663
dynamic,ATT(-5),-5,0.004822789711392474,0.006118757545779176,-0.010702982228161352,0.020348561650946298,-0.0071697547084674,0.016815334131252347
dynamic,ATT(-4),-4,0.004195485009286552,0.007711415413369534,-0.015371506515279479,0.023762476533852585,-0.010918611470744785,0.019309581489317888
dynamic,ATT(-3),-3,-0.0062826907969133995,0.006828690977072896,-0.023609852064948554,0.011044470471121753,-0.019666679173529905,0.007101297579703105
dynamic,ATT(-2),-2,-0.002177310037689505,0.0062569118622965575,-0.018053635565069902,0.01369901548969089,-0.014440631942232194,0.010086011866853182
dynamic,ATT(-1),-1,0.0011237590639269941,0.005348199003262781,-0.012446793027859343,0.014694311155713331,-0.00935851836462107,0.011606036492475057
dynamic,ATT(0),0,-0.004416701276365613,0.005748401954086138,-0.019002730725692626,0.010169328172961402,-0.01568336207503411,0.006849959522302886
dynamic,ATT(1),1,-0.00848653329958097,0.013501888555215362,-0.04274630595655609,0.025773239357394152,-0.03494974859107662,0.017976681991914677
dynamic,ATT(2),2,-0.01671787055400849,0.013708677754084965,-0.05150235135919701,0.01806661025118002,-0.04358638522768045,0.01015064411966347
dynamic,ATT(3),3,0.014854639250028051,0.04133734823672488,-0.09003499504378845,0.11974427354384456,-0.066165074510343,0.09587435301039911
