type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-8),-8,-0.010212870764081684,0.00847515562163588,-0.03142308983089987,0.010997348302736505,-0.026823870545860176,0.00639812901769681
dynamic,ATT(-7),-7,0.011628091208544362,0.0072321325114033845,-0.006471295013406257,0.029727477430494982,-0.00254662804522748,0.025802810462316205
dynamic,ATT(-6),-6,0.00757393315512914,0.005454291993421297,-0.0060761675863281895,0.021224033896586468,-0.0031162827131417763,0.018264149023400057
dynamic,ATT(-5),-5,-0.0096258659340289765,0.006556312942966936,-0.02603392261158914,0.0067821907435311884,-0.022476003173617976,0.0032242713055600242
dynamic,ATT(-4),-4,8.254736231738799e-4,0.005299462169182366,-0.012437144618044616,0.014088091864392374,-0.009561281365856066,0.011212228612203824
dynamic,ATT(-3),-3,0.004337035965304525,0.0049038721707246645,-0.007935564994519135,0.016609636925128186,-0.005274376874104071,0.013948448804713121
dynamic,ATT(-2),-2,-0.0017932884123775608,0.0032200541657053535,-0.009851907901000956,0.006265331076245834,-0.008104478605428223,0.004517901780673102
dynamic,ATT(-1),-1,-0.0077771805668273315,0.007132693596894855,-0.025627707504694924,0.010073346371040263,-0.0217570031295007,0.006202641995846034
dynamic,ATT(0),0,0.001858076052656099,0.005285945565060588,-0.011370715065231412,0.015086867170543609,-0.008502186879101876,0.012218338984414073
dynamic,ATT(1),1,-0.012197007089931423,0.007095728689638915,-0.029955024365949084,0.005561010186086238,-0.026104379765691285,0.0017103655858284397
dynamic,ATT(2),2,-0.015431055110455824,0.012287754538529256,-0.04618281675789431,0.015320706536982663,-0.03951461145684175,0.008652501235930102
dynamic,ATT(3),3,-0.014875057279936254,0.02342596175855256,-0.0735016834956681,0.0437515689357956,-0.060789098629911845,0.03103898407003934
dynamic,ATT(4),4,-0.023316658421631616,0.031199430842064026,-0.10139743858227851,0.054764121739015285,-0.08446641921022527,0.03783310236696203
