type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-11),-11,0.004262758411523385,0.002770305345640747,-0.0026641551583998597,0.01118967198144663,-0.001166940292111264,0.009692457115158034
dynamic,ATT(-10),-10,0.013210659612982109,0.017505731401445283,-0.03056093711259699,0.05698225633856121,-0.021099943456882528,0.047521262682846746
dynamic,ATT(-9),-9,0.004473841996477126,0.008551702745228165,-0.01690896545652942,0.02585664944948367,-0.012287187390662382,0.021234871383616634
dynamic,ATT(-8),-8,0.001768103736969084,0.0043213739839279685,-0.009037125418397,0.012573332892335169,-0.0067016336352581024,0.010237841109196271
dynamic,ATT(-7),-7,-0.008376088256540614,0.005604409945336158,-0.02238944002039927,0.00563726350731804,-0.019360529903997573,0.002608353390916347
dynamic,ATT(-6),-6,-0.0012306946081285573,0.00726344594327538,-0.019392325183635088,0.01693093596737797,-0.01546678706060186,0.013005397844344745
dynamic,ATT(-5),-5,-0.002339363977313269,0.011273797170189578,-0.030528537681804798,0.02584980972717826,-0.024435600399894414,0.019756872445267876
dynamic,ATT(-4),-4,0.013765365351677192,0.008950710371552532,-0.008615126831511995,0.03614585753486638,-0.0037777046126148926,0.031308435315969274
dynamic,ATT(-3),-3,-0.006656595648553554,0.004340050343066201,-0.017508523456021274,0.004195332158914168,-0.015162938012054013,0.0018497467149469048
dynamic,ATT(-2),-2,-0.00919804432074928,0.007559710458091224,-0.028100459189652875,0.009704370548154314,-0.024014804552158868,0.005618715910660309
dynamic,ATT(-1),-1,2.5417866415369914e-4,0.009969722739912357,-0.024674267524689947,0.025182624852997344,-0.019286118841924507,0.019794476170231903
dynamic,ATT(0),0,0.002236913444739054,0.004270683963322882,-0.008441569613074434,0.012915396502552544,-0.006133473312726572,0.01060730020220468
dynamic,ATT(1),1,-0.0035482867743482716,0.009207133315113622,-0.026569942780936193,0.019473369232239652,-0.02159393647282984,0.014497362924133297
dynamic,ATT(2),2,0.004261288877918518,0.01340732344027413,-0.029262586322670446,0.03778516407850748,-0.022016582194098425,0.03053915994993546
dynamic,ATT(3),3,-0.005619277882433198,0.01933638791280694,-0.05396827595850727,0.04272972019364088,-0.043517901782630417,0.03227934601776403
dynamic,ATT(4),4,-0.004232356688691734,0.0238985255010755,-0.06398859289386281,0.055523879516479344,-0.05107260595441176,0.04260789257702829
dynamic,ATT(5),5,0.015284408449331552,0.014749905447464027,-0.021596479197186,0.0521652960958491,-0.013624875003069083,0.04419369190173219
dynamic,ATT(6),6,-2.7357148922259523e-4,0.007241991100025427,-0.018381556048746615,0.01783441307030142,-0.014467613221632036,0.013920470243186846
