type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-3),-3,-0.016238662699113608,0.023403691344271043,-0.0725378172862618,0.04006049188803457,-0.06210905483917664,0.029631729440949425
dynamic,ATT(-2),-2,-0.0015007846074545621,0.015174688681179107,-0.03800451948014501,0.03500295026523588,-0.031242627899173217,0.02824105868426409
dynamic,ATT(-1),-1,-0.007882884613788829,0.012278271177860171,-0.037419092254575695,0.021653323026998038,-0.03194785391481095,0.01618208468723329
dynamic,ATT(0),0,0.007546308855947244,0.0109573985323489,-0.01881245074189327,0.03390506845378776,-0.013929797631708641,0.02902241534360313
dynamic,ATT(1),1,0.01022010474200276,0.01659227763565611,-0.02969373576381769,0.050133945247823206,-0.02230016184537261,0.04274037132937813
dynamic,ATT(2),2,-0.0017743499001625102,0.02319999728615568,-0.05758350472199044,0.05403480492166542,-0.047245509022454626,0.04369680922212961
dynamic,ATT(3),3,-0.08647047584425036,0.06477877410928587,-0.24230017654816854,0.06935922485966783,-0.21343454006110635,0.04049358837260564
