type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-11),-11,-0.0064800284588796,0.008593587719887679,-0.027514373080748816,0.014554316162989616,-0.023323150887845128,0.010363093970085929
dynamic,ATT(-10),-10,0.018064519298066094,0.014365715331098578,-0.017098141148710264,0.05322717974484245,-0.010091765363042012,0.0462208039591742
dynamic,ATT(-9),-9,-0.0033512869256962087,0.008008309321719673,-0.022953057874254237,0.01625048402286182,-0.019047284773323153,0.012344710921930735
dynamic,ATT(-8),-8,-8.774764682557395e-4,0.006069055359428936,-0.015732576121686534,0.013977623185175054,-0.012772606392916244,0.011017653456404763
dynamic,ATT(-7),-7,-5.545877887361677e-4,0.0070034476261634174,-0.01769677981745251,0.016587604239980173,-0.014281092903628998,0.013171917326156664
dynamic,ATT(-6),-6,-0.01685571420849116,0.008652632942480643,-0.03803458258467327,0.004323154167690954,-0.03381456314719805,1.0313473021572941e-4
dynamic,ATT(-5),-5,0.011963694243448614,0.01030602436344895,-0.013262145674433663,0.03718953416133089,-0.008235742332703659,0.032163130819600885
dynamic,ATT(-4),-4,0.004461510232264029,0.006854772908989779,-0.012316773806038486,0.021239794270566544,-0.008973597791556792,0.01789661825608485
dynamic,ATT(-3),-3,-0.010735051686494133,0.006754060972405828,-0.027266825227587187,0.005796721854598919,-0.02397276794179713,0.002502664568808863
dynamic,ATT(-2),-2,0.005394083000282878,0.005047342940111191,-0.006960192569786596,0.01774835857035235,-0.0044985273799575615,0.015286693380523318
dynamic,ATT(-1),-1,0.002947996879956831,0.007592134668647639,-0.015635112089350645,0.021531105849264306,-0.011932313636370475,0.01782830739628414
dynamic,ATT(0),0,0.011538246232783,0.006738731004933636,-0.004956004468099101,0.0280324969336651,-0.0016694238383903291,0.02474591630395633
dynamic,ATT(1),1,0.004015961873389914,0.012736071359332246,-0.027157853165576635,0.03518977691235646,-0.02094627929543337,0.0289782030422132
dynamic,ATT(2),2,0.013036553996181472,0.019878211151462627,-0.03561892698046627,0.06169203497282921,-0.02592402393776775,0.05199713193013069
dynamic,ATT(3),3,0.027596377876008018,0.02278632269169053,-0.028177226791217248,0.08336998254323329,-0.01706399393981319,0.07225674969182923
dynamic,ATT(4),4,0.015769423326659933,0.02686820431340072,-0.04999531746849779,0.08153416412181766,-0.036891289456869196,0.06843013611018905
dynamic,ATT(5),5,0.02970794437547127,0.02665777223046671,-0.035541726218949674,0.0949576149698922,-0.02254032910431546,0.081956217855258
dynamic,ATT(6),6,0.028834055673647573,0.026744169757863975,-0.03662708833851084,0.09429519968580599,-0.0235835538481911,0.08125166519548624
