dose_bin,pop_18_24_mean,pop_18_24_sd,pop_nonwhite_mean,pop_nonwhite_sd,share_no_formal_income_mean,share_no_formal_income_sd,avg_hh_income_pc_mw_mean,avg_hh_income_pc_mw_sd,literacy_rate_mean,literacy_rate_sd,share_in_school_mean,share_in_school_sd
High,74597.517,162229.786,33619.489,76043.023,0.402,0.089,1.093,0.265,0.983,0.012,0.147,0.048
Low,27688.855,41478.704,18024.197,28095.114,0.551,0.108,0.68,0.258,0.948,0.032,0.214,0.061
